Shop Vacuums
Ridgid WD1450,Vacmaster VBV1210,Craftsman 12004,Stihl,Shop-Vac,Stanley,Vacmaster,ArmorAll,DeWalt,PowerSmith
9.80,9.68,8.98,8.88,8.75,8.53,8.45,8.33,8.05,7.78
100,100,100,100,83,100,100,100,100,100
100,100,93,70,60,63,65,55,58,60
1.95,1.90,2.81,5.44,4.68,4.65,4.63,4.44,6.08,4.73
14,12,6,5.3,6,4,5,2.5,2,5.2
6,5,3,3,3,4,3,2,2,2
1,1,0,1,0,1,0,1,0,1
1,1,1,1,1,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1,1,0
0.0111111111,0.0106382979,0.0104166667,0.0107526882,0.0106382979,0.0103092784,0.0108695652,0.0105263158,0.012345679,0.0104166667
0.4,0.4,0.5333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8
7.0,7.0,7.0,8.0,10.0,5.0,6.0,6.0,5.0,4.166666666666667
20,12,10,16,10,10,10,10,5,16
0.0454545455,0.0574712644,0.078125,0.0757575758,0.0555555556,0.125,0.119047619,0.119047619,0.1092896175,0.1111111111
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,1
3,4,3,3,3,2,3,1,1,3
1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,1,1,1,0,0
1,1,1,1,1,1,0,0,1,0
1,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,1,0,1
5,8,4,3,6,6,4,5,2,4
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1,1,1
1,1,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,1,1,0
0,1,0,0,0,0,0,1,0,0
