Side-by-Side Refrigerator
Electrolux with IQ-Touch,Frigidaire Gallery,Kenmore Elite,GE,Samsung,Electrolux with Wave-Touch,Amana,Kenmore 50023,Maytag,LG
9.35,9.08,9.05,8.85,8.53,8.15,8.03,8.00,8.00,7.53
25.9,25.6,28,25.4,24.52,25.57,24.5,25.4,24.6,21.5
16.5,16.54,15.76,15.7,15.72,16.54,15.32,15.4,15.4,14.3
9.4,9.03,12.24,9.7,8.8,9.03,9.17,10,9.2,7.2
100,98,63,90,88,60,73,63,60,60
0.0185185185,0.0161290323,0.0112359551,0.012987013,0.0120481928,0.0117647059,0.0172413793,0.0119047619,0.0119047619,0.0125
0.2222222222,0.1937984496,0.1349527665,0.1560062402,0.1447178003,0.1412429379,0.2070393375,0.1428571429,0.1428571429,0.1499250375
0.4807692308,0.4132231405,0.3154574132,0.3333333333,0.2958579882,0.2857142857,0.4219409283,0.303030303,0.293255132,0.2688172043
1,1,0,1,1,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2
5,4,4,4,3,4,4,4,4,4
4,4,4,4,4,4,4,4,4,5
3,3,3,3,3,3,3,3,3,4
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1
1,1,1,1,0,1,0,1,1,0
0,0,1,0.5,0,1,0,0,0,0
2,2,4,5,4,2,3,3,3,4
3,2,2,2,1,3,1,1,1,2
4,4,3,4,3,4,4,4,4,3
1,3,3,4,3,1,3,2,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,1,1
1,1,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,2,1,1,1,1
5,1,5,1,5,5,1,1,10,7
1,1,2,2,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,1,1,1
