Slide-In Range
Samsung,GE Profile,Bosch,Whirlpool,Kenmore Elite,Whirlpool WEG760H0DS,LG,GE JS750EFES,Frigidaire,Kenmore
10.00,9.20,9.18,9.03,9.00,8.95,8.70,8.28,7.65,6.70
2,2,1,1,1,1,1,1,1,1
5,5,5,5,4,5,4,5,4,4
7,0,9,10,0,0,12,8,6,6
12,0,12,9,0,0,9,12,12,9
0,2,0,0,3,2,0,0,0,0
0,1,0,0,2,2,0,0,0,0
1,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0
5.8,5.9,4.6,6.2,4.5,5.8,5.4,4.4,4.6,4.6
3,3,3,3,3,3,3,3,3,2
7,6,7,7,4,7,7,7,5,4
2,1,1,1,1,1,1,1,1,1
2,2,2,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,0.5,1
1,0,0,0,0,0,0,0,0,0
1,1,1,3,1,3,1,4,3,1
1,1,1,1,0.5,1,1,0.5,1,1
1,0,1,1,0,1,1,0,0,1
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,0,10,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,0,0
1,1,1,0,0,0,1,0,0,0
