Slow Cookers
Bella Linea,Hamilton Beach Set 'n Forget,Cuisinart Programmable,KitchenAid,Crock-Pot,All-Clad,Waring,Elite by Maxi-Matic,Breville,Frigidaire Professional 7 Qt.
7.68,7.53,7.18,6.95,6.93,5.78,5.53,4.98,4.25,4.13
90,70,70,80,60,50,60,70,60,50
0.2,0.1111111111,0.1111111111,0.125,0.0666666667,0.0909090909,0.0333333333,0.0263157895,0.023255814,0.1111111111
0.0044247788,0.0047619048,0.0042194093,0.0049751244,0.0048780488,0.0046082949,0.0046511628,0.004784689,0.0045248869,0.0045248869
0.006097561,0.0057803468,0.0059171598,0.0060240964,0.0058479532,0.0059171598,0.0053475936,0.0071942446,0.0056179775,0.0059171598
0.0094339623,0.0078125,0.0068493151,0.0071942446,0.004950495,0.007518797,0.0078125,0.0076335878,0,0.0078740157
0.0065789474,0.0087719298,0.0114942529,0.0081967213,0.0076335878,0.0087719298,0.0084033613,0.0052356021,0.0079365079,0.0084033613
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
1,0,1,0,1,0,1,1,1,0
0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,1,3,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0
