Smoke Detectors
Kidde PI2010,First Alert BRK 3120B,First Alert SA320CN,Kidde PI9010,Nest Protect,USI Electric,Kidde KN-COSM-BA,Kidde RF-SM-DC,BRK 7020B Photoelectric,BRK 7010B Photoelectric
9.35,9.33,8.95,8.78,8.73,8.65,8.50,8.25,8.08,7.28
1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,1,0,0,0
1,1,0,0,0,1,0,0,1,1
0,0,1,1,1,0,1,1,0,0
24,18,0,0,18,24,0,24,18,18
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0
10,10,10,10,2,7,10,10,10,10
1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1
