Snow Blowers
Snow Joe SJ623E,Snow Joe iON18SB,Ryobi RY40811,Snow Joe SJ620,Greenworks 26032,Toro 1800,WORX Pathfinder,Power Smart DB5011,Toro 1500,Craftsman 26011
9.50,9.25,8.88,8.75,8.65,8.35,8.33,8.25,8.08,7.88
10,8,10,10,9,6,6,6,6,10
25,20,25,20,20,30,30,30,25,20
18,18,20,18,20,18,18,18,15,20
10,8,12,10,10,12,10,9,10,10
10,8,6.75,10,6,7,10,8,7,8
180,180,180,180,180,160,180,180,160,180
0.0296735905,0.03125,0.0285714286,0.0317460317,0.0285714286,0.0384615385,0.0333333333,0.0263157895,0.04,0.0303030303
15,0,0,13.5,12,15,13,13,12,0
2,2,1,2,2,1,2,2,1,1
1,1,0,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,0
1,2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0
2,2,5,2,4,2,3,2,2,4
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
0,0,1,0,0,1,0,1,1,1
