Solar Panels
Kyocera KD315GX-LPB,Canadian Solar CS6X-305M,Grape Solar 390W,Grape Solar 250W,Suntech STP255S-20/Wdb,Samsung LPC250SM,Sharp ND-Q245,Lumos LSX 250-60M,Sharp ND-F2Q235
9.13,8.83,8.60,8.58,8.45,8.43,8.08,7.78,7.38
0.000068465,0.0000701902,0.0000637186,0.0000626763,0.0000679532,0.0000578637,0.0000673764,0.0000576236,0.0000651763
0.0461254613,0.0482160077,0.0470366886,0.0463606861,0.0529941706,0.0478240077,0.0491642085,0.0427167877,0.0452488688
16,15.9,15.21,15.1,15.7,15.62,15,14.68,14.4
315,305,390,250,255,250,245,250,235
39.8,36.6,49.4,30.7,30.8,30.5,29.3,30.1,29.2
7.92,8.33,7.92,8.15,8.28,8.20,8.36,8.31,8.05
80,72,96,60,60,60,60,60,60
5,10,10,10,5,5,10,5,10
0,1,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0
10,0,10,10,12,10,10,12,10
20,25,25,25,18,25,15,25,15
113,113,50,50,113,113,50,50,50
51,52,50,50,0,52,52,52,0
194,185,194,185,185,185,194,185,190
0.0152835091,0.0130157491,0.0129533679,0.0154798762,0.0154894672,0.015583606,0.0154798762,0.015583606,0.0154798762
0.0192418703,0.0258397933,0.0194174757,0.0256410256,0.0256016385,0.0272776869,0.0255754476,0.024378352,0.0255754476
0.5555555556,0.6369426752,0.6369426752,0.6369426752,0.7299270073,0.5405405405,0.5555555556,0.7246376812,0.4761904762
0.0165016502,0.0197238659,0.0127877238,0.022675737,0.025,0.0243902439,0.0238663484,0.0159744409,0.0214132762
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
