Space Heaters
DeLonghi,Optimu,Dyson,Sunpentown,Lasko,Honeywell,Vornado,Holmes Smart,Broan,Bionaire
9.38,9.35,8.60,8.35,8.05,7.93,7.93,7.65,6.70,5.13
8,8,8,8,8,5,5,8,2,0.4
5,8,2,5,8,5,5,5,8,5
4,2,1,2,2,2,2,4,2,2
3,1,4,1,1,1,2,1,1,1
0.0153846154,0.0158730159,0.0149253731,0.0166666667,0.0161290323,0.0192307692,0.0181818182,0.0204081633,0.0151515152,0.0181818182
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,1,0,0,1
1,1,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,1,0,0
1,1,1,1,0,1,1,0,1,1
1,0,1,0,1,1,1,1,0,1
1,3,2,1,3,3,5,3,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
