Stick Vacuums
Dirt Devil,BISSELL,Dyson,Shark,Electrolux,Eureka,Hoover,Rowenta,Miele,VonHaus
8.98,8.85,8.68,8.18,8.00,7.83,7.75,7.40,7.15,7.05
0.1666666667,0.2,0.125,0.25,0.1,0.25,0.25,0.125,0.2,0.1666666667
0.25,0.1428571429,0.25,0.2,0.1428571429,0.125,0.25,0.2,0.125,0.125
95,100,100,95,80,100,100,75,90,50
0,1,1,0,1,1,0,0,0,1
9.5,10,8.2,10,8.3,10,11,11,10,10
1,1,1,1,0,1,1,1,0,1
1,1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,0,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,0,1
1,0,1,0,0,0,0,0,1,1
0,1,1,0,1,1,0,0,1,1
0,0,0,0,1,0,0,0,1,1
0.1666666667,0.3333333333,0.2857142857,0.25,0.2222222222,0,0,0.0625,0,0
22,21,20,17,21,0,0,48,0,0
0.0121212121,0.0118343195,0.0105263158,0.0109289617,0.0110497238,0.0108695652,0.0118343195,0.0112359551,0.012345679,0.0103626943
0.1709401709,0.1886792453,0.2222222222,0.1111111111,0.1818181818,0.2272727273,0.1111111111,0.125,0.1111111111,0.3333333333
15.6,12,6,10,9.6,6,12,18,12,12
0.5,0.5,0.5,1.2,0.5,0.5,1.2,0.9,1.2,1.2
41.7,44,47.5,24,42,44,25,46.8,21.8,48
1,1,2,1,2,1,2,1,1,1
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
