Gaming PC
CyberPowerPC Zeus Evo,ASUS ROG,Digital Storm Vanquish 3,Acer Predator G,Alienware X51,Lenovo Erazer X510,XoticPC Executioner,Velocity Micro Edge Z40,iBuyPower Erebus,Maingear Potenza
9.25,8.98,8.88,8.75,8.70,8.63,8.48,8.13,7.88,7.58
32,16,8,12,16,16,32,32,32,16
46,49,79,49,36,49,49,31,31,32
67,78,137,78,53,78,87,44,44,48
50,67,93,67,46,67,65,40,40,37
1,0,0,0,0,0,1,0,1,0
4.7,3.6,3.3,3.6,3.6,3.5,3.5,3.2,3.8,3.2
1,0,1,0,0,0,1,0,0,0
1,1,1,1,1,0,1,1,1,1
4,3,1,2,2,2,6,3,2,4
1,0.25,0.25,0.25,0.25,0,1,0.5,1,1
1254,2168,1808,2168,2168,2039,1003,1808,718,1054
1600,0,600,500,0,625,1600,850,1500,450
6168.959999999999,774.654,3115.9030000000002,2063.8279999999995,624.375,2557.7999999999997,3843.54,2455.866,4860.0,1073.592
2,0,0,2,0,0,2,0,2,0
2,2,2,3,2,2,2,2,2,2
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,1
1,1,0,0,1,0,1,1,1,1
3,1,3,1,1,1,1,1,3,1
1,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,0
