Pedometers
Fitbit,Yamax Power Walker,Striiv Play,Withings Pulse,Misfit Shine,Jawbone UP,Polar Loop,Garmin Vivofit,Nike+FuelBand,Omron HJ-112,Ozeri 4x3sport,Pedusa,LifeSpan MyStride,New Lifestyles,Accusplit,New Balance Via Slim,Sportline 360 Total Fitness,Timex Pedometer,SM2000
9.58,9.50,9.25,9.13,9.10,9.03,9.00,8.85,8.83,8.48,8.40,8.23,8.18,7.58,5.78,5.70,5.58,5.00,4.60
95,98,90,95,85,80,85,90,80,75,95,85,90,90,65,75,60,75,92
30,30,7,14,30,7,12,30,90,7,30,7,7,14,7,0,7,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
1000000,300,1000000,1000000,1000000,1000000,1000000,1000000,1000000,300,498,400,500,500,300,0,280,999,0
1,1,1,1,1,1,2,1,1,1,1,0.25,0,1,5,1,1,1,0.25
5,1.25,2,5,3.0303030303,1.6666666667,0.7692307692,1.25,0.8333333333,0.9090909091,0.7692307692,0.3125,1.4285714286,1,0.25,0.4545454545,0.3125,1.25,7.6923076923
0.7142857143,0.7692307692,0.5,0.5714285714,8.3333333333,0.4761904762,1,3.3333333333,0,0.3846153846,0.7142857143,0.7692307692,0.8333333333,0.4444444444,0.5,0.7692307692,0.4,0.6666666667,1
0.9090909091,0.3333333333,1,1.1494252874,1,0.3333333333,0.1063829787,1,0.1481481481,0.5555555556,0.3333333333,0.3448275862,0.4347826087,0.5882352941,0.6666666667,0.4,0.2,0.6666666667,0.5555555556
5,1,1,1,4,8,1,5,5,2,1,6,1,1,1,1,1,1,8
6,365,7,14,124,10,6,365,4,180,180,180,120,180,540,120,12,420,120
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
