Popcorn Maker
Cuisinart CPM-700 EasyPop,West Bend Stir Crazy 82505,Presto Stirring Popper 05200,Cuisinart EasyPop 1.5 CPM-100,Great Northern 1.5 Popper,West Bend Stir Crazy 82306,Nostalgia Electrics Retro Mini 1.5,Presto PopLite 1.5,Waring WPM10 Popcorn Maker,Great Northern Pop Frenzy
9.93,8.95,8.85,8.68,8.53,8.33,8.23,7.73,7.58,7.55
16,28,24,10,18,28,10,18,20,24
0.1666666667,0.2,0.2,0.3333333333,0.4,0.2,0.3333333333,0.3333333333,0.25,0.1666666667
1,0.974,1,0.9167,0.9806,0.9375,0.9479,0.9167,0.9826,1
1,1,1,1.5,1.5,1,1.5,1.5,1,1
1,1,0,1,0,0,1,0,1,1
27,29.5,35.5,32,45,40,35.5,31,27,34
1,1,0,1,0,1,0,0,0,0
1,2,0,1,0,1,0,0,0,0
1,0,0,1,1,0,1,1,0,0
1,1,1,1,0,1,1,1,0,0
1,0,0,1,0,0,0,0,0,0
3,1,1,3,1,1,0.25,1,5,0.25
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,1,1,0,0
0,1,0,0,1,1,1,0,0,1
