Portable Air Conditioners
Haier,EdgeStar,Soleus,Whynter,Honeywell,Amico,Frigidaire,LG,Sunpentown,NewAir
9.30,9.25,9.20,8.85,8.45,8.20,8.08,7.78,7.60,7.43
550,350,700,550,450,500,150,550,350,450
12000,8000,14000,12000,10000,11000,5000,12000,8000,10000
188,123,225,188,174,235,240,255,185,176
3,3,3,3,3,2,3,3,2,2
4.2,2,2.5,3.8,2.8,2.5,1.1,1.2,1.9,2.1
1,1,1,1,1,1,1,1,1,1
10.0,9.5,10.1,11.1,9.5,10.2,8.6,9.4,8.9,11
0.0096450617,0.0137779002,0.0083263947,0.010716965,0.0110229277,0.010716965,0.0199560966,0.009113278,0.0128600823,0.0127323657
1,0,0,1,1,0,1,0,1,0
1,1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,1,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,0,0,0,1,1,0
0.033970276,0.0404040404,0.0305343511,0.0322580645,0.0340909091,0.0319148936,0.0353982301,0.0305343511,0.0338983051,0.0355555556
0.0655737705,0.0754716981,0.0526315789,0.064516129,0.0657894737,0.0769230769,0.0683760684,0.0641025641,0.0666666667,0.0720720721
0.0563380282,0.0519480519,0.0571428571,0.0588235294,0.0552147239,0.0588235294,0.0571428571,0.0697674419,0.0727272727,0.0808080808
0.015060241,0.0178571429,0.0120481928,0.0161290323,0.0156494523,0.0181818182,0.0181818182,0.0162074554,0.0196078431,0.0206185567
0.0204081633,0.0178571429,0.0217391304,0.019047619,0.02,0.0208333333,0.0181818182,0.0178571429,0.0186567164,0.0185185185
5,5,0,4,3.9,6,4.5,5,5,5
46,55,96,46,47.25,52.2,48.5,36,40.5,42
1,2,2,1,1,1,2,1,1,1
1,1,1,0,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
5,3,1,3,4,1,5,1,1,1
1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,0
