Portable Generators
Honda,Yamaha,Sportsman Serie,Westinghouse,Champion Power,Briggs & Stratton,WEN,Generac,Honeywell,All-Power America
9.83,9.58,9.23,8.95,8.50,8.33,8.13,8.00,7.58,6.95
5000,4500,6000,5500,5500,5000,5000,5500,5500,5000
7000,5500,7500,6750,6500,6250,5500,6875,6875,6000
2000,1000,1500,1250,1000,1250,500,1375,1375,1000
0.55,0.57,0.69,0.47,0.59,0.5,0.59,1.02,0.64,0.6
11.2,12,9,14,11,10,11,7,9.1,11
6.2,6.9,6.2,6.6,6.5,5,6.5,7.14,5.8,6.6
389,358,389,357,338,342,389,389,389,291
1,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.0138888889,0.0134952767,0.0125,0.014084507,0.0138888889,0,0.0135135135,0.014084507,0,0.0131578947
0.0043103448,0.0047169811,0.0074074074,0.005952381,0.0054054054,0.0056179775,0.0053418803,0.0054347826,0.004950495,0.0052910053
4,4,5,4,2,4,4,4,4,2
2,2,1,1,2,1,1,1,1,2
1,0,1,0,1,0,1,0,0,1
1,1,1,0,1,0,0,0,1,0
1,1,1,1,0,1,1,0,1,0
1,1,0,0,0,0,1,0,0,0
0,1,1,1,1,1,1,1,0,1
3,3,1,3,2,3,2,2,3,1
1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,0,0,0,0
1,1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,0,1,1,0
1,0,1,1,1,1,0,1,0,0
