Portable Washing Machine
Haier HLP24E,Midea MAE50,Magic Chef MCSTCW16W2,GE WSLP1500HWW,Magic Chef MCSTCW21W2,Avanti TLW21PS,Danby DWM17WDB,Avanti TLW16W,Haier HLP21N
9.08,9.00,8.68,8.60,8.58,8.23,8.13,7.88,7.70
0.0281690141,0.0275482094,0.027027027,0.0266666667,0.027027027,0.027027027,0.0294985251,0.0268096515,0.0307692308
0.0507614213,0.0492610837,0.0492610837,0.0429184549,0.0465116279,0.0465116279,0.046728972,0.0492610837,0.0568181818
0.05,0.0483091787,0.0483091787,0.0418410042,0.0452488688,0.0448430493,0.0462962963,0.0480769231,0.0578034682
0.0163934426,0.0146412884,0.0146412884,0.0111111111,0.0126103405,0.0126582278,0.0118343195,0.0136986301,0.023255814
1.5,1.6,1.6,2.6,2.1,2.1,1.7,1.6,1
800,800,800,680,800,800,700,800,700
1,1,1,1,1,1,1,1,1
0,1,0,1,0,0,1,0,1
1,1,1,0,1,1,1,1,1
1,0,1,0,1,1,1,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
4,6,6,8,6,6,8,6,3
4,6,6,7,6,6,4,6,3
1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,1,0
1,1,1,1,1,0,0,0,1
1,1,1,1,1,1,1,1,0
0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
