Power Scooter
EV RiderXpres,Luggie,BuzzAround XL,Pride Mobility Victory 9,MiniRider 4 Wheel,Shoprider Sunrunner,Shoprider Dasher 9,Go-Go Ultra X,BuzzAround Lite 3 Wheel,Zip'r 3 Xtra
9.15,9.13,8.95,8.90,8.88,8.85,8.83,8.80,8.55,8.48
300,250,300,300,275,300,300,260,250,250
5,4,4,5.25,5,5,3.8,4,4,4.25
12.5,12,8,13,15,25,11.2,8,8,10
1,1,1,1,1,1,1,1,1,1
0.0074074074,0.02,0.0091743119,0.0076335878,0.0086956522,0.0055555556,0.0090909091,0.0133333333,0.0105263158,0.0096246391
0.026,0.02777,0.02127,0.0194,0.02857,0.02,0.0317,0.0303,0.0322,0.0387
0.357,0.4,0.333,0.444,0.4,0.333,0.666,0.5,0.5,0.4
12,6,6,8,10,8,12,6,6,6
1,1,1,1,1,1,1,1,1,1
0.2,0.5,0.2,0.2,0.25,0.25,0.2,0.2,0.2,0.2
0.0217391304,0.02,0.023255814,0.0169491525,0.027027027,0.0243902439,0.0285714286,0.0338983051,0.03125,0.0287356322
0.03125,0.3333333333,0.0476190476,0.0408163265,0.0333333333,0.05,0.0285714286,0.0555555556,0.0476190476,0.0476190476
2,1,2,2,2,2,2,2,2,1
1,1,2,2,1,1,1,2,1,1
0.5,0,1,0.5,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,1,1,1,1,0
0,1,1,0,0,0,0,0,1,1
0,0,0,1,0,1,1,1,0,0
3,3,50,50,3,1,50,3,50,3
1,1,2,2,1,1,1,1,2,1
1,1,2,2,1,1,1,1,2,1
1,0.5,0,0.5,0.1,0.5,0.5,0.5,0,0.5
