Programmable Thermostats
Nest Learning Thermostat,ecobee3,Honeywell Lyric,ecobee Smart,Radio Thermostat CT-80,Honeywell Wi-Fi Smart,Emerson Sensi,Venstar ColorTouch,Lennox iComfort Wi-Fi,Trane XL,Lux TX9600TS
9.78,9.70,9.48,9.43,9.13,9.10,8.68,8.23,8.03,7.85,7.53
3,4,3,3,3,2,4,4,2,4,2
2,2,2,2,2,2,2,2,2,2,1
1,1,1,1,0.5,1,1,1,0.5,3,0.25
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0,0
1,0.5,1,0.5,1,0.5,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,0.5,1,1,0
1,1,1,0,0,0,0,0,0,0,0
95,95,80,100,85,90,95,95,80,80,95
1,2,1,1,2,1,0,0,0,2,0
1,1,0,1,0,0.5,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,2,1,1,1,1,0
1,1,1,1,1,1,2,1,1,1,2
1,1,1,1,1,1,1,1,0.5,0.5,1
1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,1
1,1,1,0,0,0,1,0,0,0,0
2,3,2,3,1,1,3,1,5,5,3
1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1,1
0,0,1,0,1,1,0,0,0,0,0
