Push Lawn Mowers
Fiskar,Scott,Earthwise,Greenwork,Sun Joe,GARDENA,Craftsman,Great State,LawnMaster,American
8.90,8.88,8.78,8.25,8.15,7.73,7.70,7.10,6.55,6.15
4,5,5,5,5,5,5,4,5,4
8,9,8,9,8,5,4,3,9,3
1,1,1,1,1,0,1,0,1,0
1,1,1,1,0,0,1,0,0,0
1,1,1,1,1,1,1,0,1,0
0,0,0,1,1,0,1,0,0,0
90,93,93,84,91,100,88,98,99,93
18,20,18,20,18,15,16,16,16,15
4,4,3,2.75,2.44,1.65,2,2.50,2.50,1.75
1,1,2,0.5714285714,0.7936507937,1,1.3333333333,2,0.7246376812,2
0,3,2,2,2,0,1,1,10,6
0.5,1,0.5,1,1,0.5,1,0.5,0.5,1
100,77,86,71,75,96,85,93,69,89
3,2,1,1,2,3,2,3,1,3
0.125,0.1111111111,0.125,0.0909090909,0.0666666667,0.0555555556,0.0769230769,0.0833333333,0.05,0.0909090909
0.0625,0.0666666667,0.125,0.05,0.0833333333,0.1,0.0666666667,0.0555555556,0.2,0.0555555556
0.1666666667,0.2,0.1666666667,0.1666666667,0.1666666667,0.2,0.125,0.2,0.2,0.2
1,0,0,1,1,1,1,0,1,0
3,3,3,4,2,1,2,1,2,0.25
1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
