Laptop Computers
HP Spectre x360,Dell Inspiron 7000 Series,Acer Aspire R13,Asus ZenBook UX305,Lenovo ThinkPad X250,Toshiba Portege Z20t,Apple MacBook Air,Lenovo ThinkPad T450s,HP EliteBook Folio 1040 G2,Dell Latitude 5000 Series
9.28,9.00,8.80,8.65,8.50,8.33,8.28,8.20,8.00,7.70
8,8,8,8,7,8,4,6,7,6
2073600.0,2073600.0,2073600.0,2073600.0,1049088.0,2073600.0,1049088.0,1440000.0,1440000.0,1049088.0
3686400.0,8294400.0,3686400.0,5760000.0,2073600.0,2073600.0,1296000.0,2073600.0,2073600.0,2073600.0
568.0,345.0,456.0,578.0,459.0,877.0,840.0,451.0,431.0,511.0
0.30303030303030304,0.2222222222222222,0.30303030303030304,0.3846153846153846,0.3448275862068966,0.3125,0.3333333333333333,0.2857142857142857,0.30303030303030304,0.29411764705882354
0.015140503875968991,0.008144914315501399,0.011628583057154487,0.017694417411306732,0.012703252032520325,0.012054001928640309,0.01240079365079365,0.010803802938634399,0.013621009044350006,0.00975800156128025
100,100,104,93,93,106,81,89,96.5,104
1080,720,720,720,720,720,720,720,720,1080
5,7,7,4,4,4,8,5,5,3
2.2,2.2,2.2,0.8,2.1,1.1,1.6,2.2,2.2,1.9
0,1,0,0,0.5,0,0,0.5,0,0.5
0.256,0,0.256,0.256,0,0.128,0.128,0,0.128,0
0.512,0,0.512,0.512,0.512,0.256,0.512,0.512,0.512,0
8,6,8,8,4,4,4,4,4,4
8,16,8,8,16,8,8,20,8,8
3,2,2,3,2,2,2,3,2,3
0,1,1,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,1
7,4,3,0.5,2,4,8,2,7,4
1,1,1,1,1,3,1,1,3,1
0.3,1,1,1,1,1,0.3,1,0.3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
