Ultrabook
Lenovo Yoga 900,Dell XPS 13,Apple MacBook Pro 13,HP Spectre x360,Acer Aspire S7,Toshiba KIRAbook 13,Apple MacBook Air 13,Dell Inspiron 13,Lenovo ThinkPad X1 Carbon,Samsung ATIV Book 9 Plus
9.90,7.78,7.58,7.53,7.35,6.75,6.23,6.13,5.88,5.78
8,8,9,4,6,7,9,7,6,0.7
9,9,7,6,9,8,3,6,6,0.7
2.5,2.3,2.7,2.2,2.4,2.4,1.6,2.4,2.2,2.4
16,8,8,8,8,8,4,8,8,8
512,256,128,256,256,256,128,256,256,256
9,8,7,8,7,6,4,3,4,6
9,7,7,8,5,2,1,0.4,2,5
477.0,488.0,724.0,568.0,528.0,547.0,840.0,506.0,480.0,448.0
0.35714285714285715,0.3448275862068966,0.28735632183908044,0.31545741324921134,0.3484320557491289,0.3436426116838488,0.33783783783783783,0.2717391304347826,0.3484320557491289,0.3225806451612903
0.01500389726231389,0.017654918377781357,0.013230231024971135,0.01443080156464523,0.017544598369054133,0.014090421049961816,0.012908955717118304,0.011744057066722099,0.011446080661675032,0.016766062592137896
1,0,0,1,0,0,0,1,0,0
5760000.0,5760000.0,4096000.0,2073600.0,2073600.0,3686400.0,1296000.0,2073600.0,2073600.0,5760000.0
13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,14,13.3
1,1,0,1,1,1,0,1,0,1
284,298,389,339,327,222,334,316,243,315
2.77,8.1,1.2,1.3,4,5,4.3,1.16,1.2,6.8
3,2,2,3,2,3,2,2,2,2
1,0,0,0,0,0,0,1,0,0
0.5,0,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1
5,3,9,6,4,1,9,3,5,7
1,1,1,1,1,2,1,1,3,1
1,1,0.3,1,1,1,0.3,1,1,1
1,1,1,0,1,0,1,1,0,1
1,1,0,1,0,1,0,1,1,1
