Kids Tablets
nabi DreamTab,Amazon Fire HD,Kurio Xtreme 2,Sprout Channel,Samsung Galaxy Tab,nabi Jr.,Dragon Touch,VTech InnoTab,Smartab,LeapFrog LeapPad
9.00,8.80,8.63,8.30,7.78,7.28,6.25,5.95,4.60,4.10
8,8,5,8,8,5,2,5,2,5
8,7,7,7,7,5,7,7,7,7
0.7142857142857143,1.2658227848101264,1.2048192771084338,0.9090909090909091,1.0989010989010988,1.2048192771084338,1.0526315789473684,0.7142857142857143,1.4925373134328357,0.7142857142857143
0.020242259360020724,0.018037518037518033,0.03597225819448041,0.040492387431162936,0.04709162145871006,0.02267573696145125,0.04732697258821748,0.01543400419804914,0.06740815638692282,0.01958127403601388
16,8,16,16,8,4,8,8,8,8
1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,0,1,0,1,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,1,0
5,8,8,5,5,2,2,5,0.4,0.4
5,8,5,2,8,5,2,2,2,2
2304000.0,1024000.0,614400.0,614400.0,614400.0,384000.0,614400.0,614400.0,614400.0,614400.0
320.0,289.0,307.0,271.0,297.0,340.0,210.0,353.0,133.0,439.0
1,2,1,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0,0,1
0,1,1,1,1,0,1,1,1,1
0,1,1,0,1,0,0,0,1,0
