eBook Reader
Kindle Voyage,Kindle Paperwhite,NOOK GlowLight Plus,Kobo Glo HD,Kindle,Kobo Aura H2O,Kobo Touch 2.0
9.78,9.28,7.88,7.28,6.85,6.43,5.70
8,8,5,5,8,5,5
1552256.0,1552256.0,1552256.0,1552256.0,480000.0,1544400.0,480000.0
300,300,300,300,167,265,167
6,6,6,6,6,6.8,6
8,8,9,35,8,35,35
1,1,1,1,0,1,0
8,6,4,5,2,8,2
0.15873015873015872,0.1388888888888889,0.14492753623188406,0.15873015873015872,0.14925373134328357,0.12195121951219513,0.15384615384615385
21,21,21,28,14,28,28
1,1,0,0,0,0,0
0.11574074074074073,0.09012906482082343,0.09777847309136418,0.09956192751891677,0.07939028262940614,0.07371369600471768,0.09956192751891677
1,1,1,1,1,1,1
1,1,0,0,1,0,0
1,1,1,0,1,0,0
1,1,1,0,1,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,0,1,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
