Kindle
Kindle Fire HDX 8.9,Fire HD,Fire HD 6,Fire,Kindle Fire HD Kids Edition,Kindle Voyage,Kindle Paperwhite,Kindle
9.88,9.20,9.00,8.88,8.75,8.33,8.20,6.95
1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0
8.9,10,6,7,7,6,6,6
4096000.0,1024000.0,1024000.0,614400.0,1024000.0,1552256.0,1552256.0,480000.0
339,149,252,171,215,300,300,167
10.3,9,8.5,6.5,7,1008,1008,672
0.05908070424199457,0.05136898340781836,0.09100837277029487,0.07407407407407407,0.018037518037518033,0.11574074074074073,0.09012906482082343,0.07939028262940614
0.07575757575757576,0.06578947368421052,0.09900990099009901,0.09090909090909091,0.07936507936507936,0.15873015873015872,0.1388888888888889,0.14925373134328357
1.2,1,0.3,0.3,0.3,0,0,0
8,5,2,2,2,0,0,0
64,32,16,8,16,4,4,4
1,1,1,1,1,0,0,0
0,0,0,0,0,1,1,0
0,1,1,0,1,0,0,0
1,1,1,1,2,1,1,1
1,1,0,1,0,0,0,0
