GPS Tracker
Amber Alert GPS,PocketFinder,Trackimo,Caref GPS,Trax,BrickHouse Security Spark Nano,FiLIP,Spot Gen3,Live Trac PT-10,SkyNanny
8.85,8.65,8.58,8.18,7.63,7.58,7.53,7.45,6.75,5.90
8,8,8,3,8,3,8,0,8,3
6,6,6,0.2,6,0.2,6,0,6,0.2
0,1,1,1,1,1,0,1,1,0
1,1,1,1,0,1,1,0,0,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,0,1,1,0,0,1,0
1,0,1,1,0,1,0,1,0,1
1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,0,0
5,7,6,6,8,5,5,4,3,0.4
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,1,0,1,1,0
8,9,3,2,8,7,5,7,5,2
42,104.5,51,57.5,30.75,174,31,0,166,30.5
0.29761904761904767,0.45289855072463775,0.49431537320810687,0.7122507122507122,0.7575757575757575,0.32051282051282043,0.4385964912280702,0.11764705882352941,0.19047619047619047,0.3968253968253968
0.4166666666666667,0.625,0.5882352941176471,0.6666666666666666,1.0,0.2857142857142857,0.5,0.25,0.25,0.625
0,1,1,1,1,1,1,1,0,0
0.00208,0.00227,0.005,0.00295,0.004,849.75,0.00117,0.00222,0.0008,0.0057
0.1,1,1,1,1,1,1,0.1,1,1
0,0,1,0,1,0,0,1,1,0
8,4,4,6,4,8,5,6,9,5
1,0.5,1,1,1,0.4,1,1,1,1
1,0,0,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
