SMARTPHONES
Nexus 6P,Apple Iphone 6s,Samsung Galaxy Note5,Samsung Galaxy S6,Apple Iphone 6s Plus,Nexus 5x,Motorola Moto X Pure Edition,LG G4,Apple Iphone 6,HTC One M9,Apple Iphone 6 Plus,Samsung Galaxy Note 4,One Plus 2,Sony Xperia Z3,LG G3,Motorola Moto X,Motorola Droid Turbo,Samsung Galaxy S5,Asus Zenfone 2,YotaPhone 2,BlackBerry Z30
9.30,9.13,8.98,8.98,8.90,8.77,8.68,8.60,8.48,8.35,8.32,8.10,8.07,8.00,7.78,7.73,7.48,7.48,7.03,6.95,4.65
12,12,10,10,12,12,11,8,12,11,12,7,11,10,10,12,8,6,6,9,4
11,12,10,9,10,11,11,9,12,11,9,7,11,8,9,8,8,5,8,9,1
5.7,4.7,5.7,5.1,5.5,5.2,5.7,5.5,4.7,5,5.5,5.7,5.5,5.2,5.5,5.2,5.2,5.1,5.5,5,5
2211840,1000500,2211840,2211840,2073600,2073600,2211840,2211840,1000500,2073600,2073600,2211840,2073600,2073600,2211840,2073600,2211840,2073600,2073600,2073600,921600
518,326,518,577,401,424,520,538,326,441,401,515,401,424,538,423,565,432,403,442,295
6.28,5.04,6.03,4.87,6.77,4.8,6.31,5.47,4.55,5.54,6.07,6.21,6.17,5.36,5.26,5.08,5.96,5.11,6,5.11,6
5.56,4.02,5.43,4.24,5.55,5.13,8.00,6.86,3.88,6.21,5.33,6.16,6.88,4.72,5.91,6.16,7.18,5.10,7.84,5.45,5.80
12,11,11,12,10,11,12,12,6,6,12,11,7,9,10,11,8,11,7,7,2
12.3,12,16,16,12,12.3,21,16,8,20,8,16,13,20.7,13,13,21,16,13,8,8
2,2.2,1.9,1.9,2.2,2,2,1.8,2.2,2.2,2.2,2.2,2,2.3,2.4,2.25,2,2.2,2,0,2.2
8294400,8294400,8294400,8294400,8294400,8294400,8294400,8294400,2073600,8294400,2073600,8294400,8294400,8294400,8294400,8294400,8294400,8294400,2073600,2073600,2073600
240,240,60,30,240,120,60,60,240,120,240,60,120,120,30,30,30,120,30,30,30
2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,1
0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
8,5,5,5,5,5,5,8,1.2,4,1.2,3.7,5,2.2,2.1,2,2,2,5,2.1,2
2073600,921600,2211840,2211840,921600,2073600,2073600,2073600,921600,2073600,921600,2211840,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,921600
85,100,88,87,97,74,73,68,71,80,73,68,83,62,53,66,67,60,64,58,0
64,64,64,64,64,64,64,64,64,64,64,32,64,32,32,32,32,32,32,32,32
2,1.84,1.8,1.8,1.84,1.57,1.57,1.57,1.4,1.75,1.4,2.7,1.8,2.5,2.5,2.5,2.7,2.5,2.3,2.3,1.7
8,2,8,8,2,6,6,6,2,8,2,4,8,4,4,4,4,4,4,4,2
3,2,4,3,2,2,3,3,1,3,1,3,4,3,3,2,3,2,4,2,2
128,128,64,128,128,32,64,32,128,32,128,32,64,32,32,64,64,32,64,32,16
0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1
11,7,11,10,9,10,8,6,6,7,8,11,7,9,7,5,11,9,9,9,5
12.4,6.8,9.6,8.5,8.3,11.5,6.5,7.6,7.5,7.2,10,8.7,8.1,12.2,7,7.6,9.5,9.5,7.1,5.9,0
3450,1715,3000,2550,2750,2700,3000,3000,1810,2840,2915,3220,3300,3100,3000,2300,3900,2800,3000,2500,2880
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0.5,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1
1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1,0,1,0,1,0,0,0
