GPS Navigation
Garmin nüvi 2589LMT,TomTom Go 500,Magellan SmartGPS 5390,Magellan 5465T-LMB,Garmin Nuvi 68LMT,Garmin Nuvi 58LMT,TomTom Go 50S,TomTom Go 50,Garmin Nuvi 57,Magellan 5220-LM
10.00,9.53,8.78,8.65,8.48,8.33,7.75,6.73,6.65,6.58
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,0,1
1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
10,7,7,7,10,10,7,7,10,7
1,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,0
130560.0,130560.0,384000.0,384000.0,384000.0,130560.0,130560.0,130832.0,130560.0,76800.0
5,5,5,5,6,5,5,5,5,5
2,2,1.5,2,1,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0
1,0,0,0,1,1,0,0,1,0
0.18181818181818182,0.17543859649122806,0.18867924528301888,0.18867924528301888,0.15151515151515152,0.18181818181818182,0.17543859649122806,0.17543859649122806,0.18181818181818182,0.17857142857142858
0.30303030303030304,0.2777777777777778,0.29411764705882354,0.29411764705882354,0.27027027027027023,0.29411764705882354,0.2777777777777778,0.2777777777777778,0.29411764705882354,0.29411764705882354
1.4285714285714286,1.1111111111111112,2.0,2.0,1.25,1.25,1.1111111111111112,1.1111111111111112,1.25,1.6666666666666667
0.15384615384615385,0.12048192771084336,0.2222222222222222,0.1388888888888889,0.11627906976744186,0.15625,0.13513513513513511,0.13513513513513511,0.15625,0.1639344262295082
100,85,50,50,100,100,85,85,100,50
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
