Bluetooth Headphone
Parrot Zik,Sony MDR-1RBT,Sennheiser MM 550-X,Jabra Revo Wireless,Sennheiser MM 450-X,Harman Kardon BT,Beats Studio Wireless,Bose SoundLink around-ear,AKG K 845BT,Creative WP-450
9.45,9.00,8.83,8.50,8.48,8.33,8.20,8.08,7.10,5.85
100,95,90,85,90,80,75,90,75,70
110,105,107,119,107,0,0,0,102,0
0.03125,0.041666666666666664,0.01,0.03125,0.01,0.03125,0,0,0.03125,0.03125
40,40,35,40,30,40,0,0,50,34
1,1,1,1,1,1,0,1,1,0
1,0,1,0,1,0,1,0,0,0
24,200,20,240,20,40,20,200,8,9
0.08058017727639001,0.0927643784786642,0.1584786053882726,0.11806375442739078,0.27027027027027023,0.10080645161290323,0.10905125408942203,0.18975332068311196,0.09852216748768472,0.24875621890547267
4,1,1,4,1,1,8,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
33,30,40,33,33,25,30,30,33,33
1,1,1,1,1,1,1,1,1,0
0,0,1,0,1,1,1,0,0,1
1,1,0,1,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,0,1,0
