Noise-Cancelling Headphone
Sennheiser PXC,Sony MDR-1RNC,Audio-Technica ATH-ANC7b,Parrot Zik,Bose QuietComfort,AKG NC,PSB M4U,Polk Audio UltraFocus 8000,Logitech UE,Harman Kardon NC,Panasonic RP,Able Planet Clear Harmony NC1050,Monoprice 10010 Noise Cancelling,Beats Executive,JVC HA-NC,Sony MDR-NC8,Soul by Ludacris SL300MS,Monster Inspiration Active Noise Cancelling,Beats Studio,Koss qz900
9.50,9.33,9.25,9.00,8.75,8.70,8.70,8.58,8.20,7.88,7.75,7.63,7.63,7.58,7.58,7.38,7.38,7.25,7.20,7.13
100,100,95,95,90,100,90,85,85,90,75,70,70,70,65,55,65,70,50,50
160,16,20,32,0,26,32,2,32,32,71,32,32,0,27,17,24,0,0,32
23,13,30,25,0,14,0,15,14,0,32,0,35,0,20,10,15,0,0,0
102,103,109,110,0,121,102,110,105,0,96,121,99,0,105,98,0,0,0,100
40,50,40,40,0,40,40,40,40,40,40,40,40,40,40,30,0,0,40,0
55,30,40,24,35,40,55,60,40,40,60,0,50,20,50,80,30,40,20,50
1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
100,100,90,100,100,85,90,80,85,75,80,70,70,70,70,50,60,65,60,60
8.5,7.3,3.5,12.41,4.5,5.3,12,12,9.7,11.2,5.5,8.5,6.3,11.99,5.29,6,8.88,12,9.17,8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.92,4.92,5.2,4.2,5.5,4.6,4.92,4.58,5.9,4.6,4.9,5,4.83,4.5,4.9,3.9,3.93,3.93,4.6,4
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0
2,1,1,1,1,1,1,1,2,1,0.25,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
