Wireless Earbuds
JLab Epic,Jaybird X2,Jabra Sport Coach,Plantronics BackBeat,Jabra Sport Pulse,Scosche SportclipAIR,Powerbeats2 Wireless,Sol Republic SHADOW,Moto Surround,BlueAnt PUMP
9.68,9.65,9.13,9.10,8.93,8.90,8.83,8.68,8.63,8.50
8,7,6,7,6,5,8,8,8,5
8,7,4,6,3,6,8,8,8,5
6,6,3,0,4,4,4,4,3,3
1.8867924528301885,2.0408163265306123,1.7857142857142856,1.1764705882352942,1.7857142857142856,1.9607843137254901,1.1764705882352942,0.9523809523809523,0.7246376811594204,1.8518518518518516
8,9,5,7,5,7,6,7,4,7
65,66,57,62,57,56,65,75,40,60
8,8,8,2,8,8,2,2,2,8
8,6,6,0,6,0,0,0,0,0
10,8,5.5,8,5,7,6,8,12,6
10,8,5.5,6,5,7.5,6,8,15,6
0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,1.0
30,30,33,33,33,33,30,30,150,33
85,95,100,100,55,75,60,60,85,55
1,8,8,8,8,2,2,2,2,5
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0
0,0,1,1,1,0,0,0,1,0
3,6,3,2,1,3,8,2,0,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,0,1,0,1,1,0,1,1
