Wireless Headphones
Pioneer SE-DIR800C,Sennheiser RS 180,Sony MDR-DS6000,LTB Q-HOME-FX,Koss JR900,RCA WHP160,JVC HA-W600RF
9.63,9.13,9.05,8.75,8.08,7.45,7.00
0.08333,0.0555,0.05,0.05,0.05,0.05,0.04
22000,21000,20000,20000,20000,20000,13000
40,40,40,40,40,40,40
0.11337868480725623,0.13157894736842105,0.1288659793814433,0.12195121951219513,0.09900990099009901,0.11363636363636363,0.11337868480725623
0.5,0.5,0.5,0.5,0.5,1,0.5
1,1,1,1,1,1,1
28,32,150,100,30,150,164
1,1,1,1,1,1,1
1,0,1,1,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,0
10,10,18,10,10,10,10
1,1,1,1,1,1,1
0.25,2,0.25,1,50,1,1
1,1,1,1,1,1,1
1,1,1,0,1,1,1
0,0,1,0,0,1,1
0,1,1,1,1,1,1
