All-In-One Printer
HP Officejet,Epson WorkForce,Brother Business Smart,Canon Pixma MX922,Dell B1265 Laser,Brother Inkjet All-in-One,Brother Laser All-in-One,Canon Pixma MX472,HP Officejet Wireless,Epson Expression Photo
9.58,9.38,9.35,8.68,8.68,8.48,7.98,7.78,7.58,6.35
19,19,18,15,29,12,24,9.7,8.8,8.7
14.5,10,16,10,0,10,0,5.5,5.2,4.5
11520000,11520000,7200000.0,23040000,360000.0,7200000.0,1440000.0,360000.0,720000.0,8294400.0
11520000,11520000,7200000.0,360000.0,0,7200000.0,0,5760000.0,5760000.0,8294400.0
30000,20000,13000,0,20000,2500,10000,0,1000,0
1,1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0
5760000.0,5760000.0,5760000.0,11520000,1440000.0,2880000.0,1440000.0,2880000.0,1440000.0,1440000.0
13,17,18,8.4,28,5,24,4.7,6,5
11,9,16,8.4,0,5,0,4.7,4,3
1,1,0,1,1,1,1,1,1,0
35,25,0,35,40,20,35,30,35,0
1,1,1,1,1,1,1,1,1,0
4,3,3,3,3,7,7,3,4,0
100,180,200,250,128,170,400,50,99,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0
250,250,150,250,250,100,250,100,100,100
75,75,100,100,75,100,100,100,75,75
1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,1,1,0,1,0
