Wireless All-in-One Inkjet Printer
HP Officejet Pro,HP Photosmart,Epson WorkForce Pro,Epson Expression,Brother MFC,Canon Pixma,Epson WorkForce,Kodak ESP,Brother DCP,HP Deskjet
9.75,9.03,8.75,8.53,8.45,8.28,8.25,6.65,6.48,6.20
100,95,95,90,90,85,85,75,70,75
35,34,20,30,35,20,18,8,33,23
35,33,15,25,27,15,15,5.5,27,22
20,14,16,9.5,12,15,15,8,5,8
16,10,11,9,10,10,9.3,5.5,5,7.5
50,66,60,10,60,21,60,34,65,19
92160000,23040000,92160000,8294400,7200000,23040000,8294400,92160000,2880000,5760000
92160000,2880000,5760000,92160000,5760000,11520000,92160000,2880000,7200000,23040000
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,0
1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,0,1,0,0,0
1,1,1,0,0,0,0,0,0,1
1,1,0,1,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4.3,4.3,2.5,3.5,3.3,3.5,3.5,2.4,0,3
250,125,330,100,500,150,500,100,50,80
0.051546391752577324,0.05595970900951315,0.055248618784530384,0.05813953488372093,0.03875968992248062,0.05434782608695653,0.05649717514124294,0.050505050505050504,0.06493506493506493,0.057736720554272515
0.055248618784530384,0.05583472920156337,0.038910505836575876,0.0425531914893617,0.057803468208092484,0.06024096385542168,0.04504504504504505,0.0591715976331361,0.06896551724137931,0.06958942240779402
0.08064516129032258,0.11286681715575622,0.06622516556291391,0.1234567901234568,0.0425531914893617,0.1694915254237288,0.08264462809917356,0.08333333333333333,0.1694915254237288,0.17543859649122806
0.03656307129798903,0.05274261603375527,0.03289473684210526,0.052083333333333336,0.024937655860349125,0.05434782608695653,0.041666666666666664,0.07874015748031496,0.06666666666666667,0.07418397626112759
119,119,119,119,187,187,119,97.11,119,119
0.25,0.2,0.25,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.25,0.25
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,3,2,1,1,3,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,0,0,0,1,0,0,0,1
