Wireless Laser Printer
Samsung CLX,HP LaserJet Pro 400,Dell C,Canon imageCLASS,Brother HL 3170cdw,Samsung ML,Dell B,Samsung Printer Xpress,Brother HL 2270dw,Aficio SP
9.60,9.23,9.03,8.75,8.60,8.35,8.00,7.35,7.28,7.10
2,1,2,1,2,1,1,2,1,2
19,35,15,26,23,24,20,19,27,21
19,0,12,0,23,0,0,4,0,21
0.0625,0.125,0.08333333333333333,0.1111111111111111,0.0625,0.1111111111111111,0,0.07142857142857142,0.11764705882352941,0.07142857142857142
350,300,150,250,250,250,150,150,250,250
0.05555555555555555,0.06666666666666667,0.06666666666666667,0.0106951871657754,0.06666666666666667,0.041666666666666664,0.06666666666666667,0.05555555555555555,0.05555555555555555,0.05555555555555555
256,256,128,64,128,64,32,32,32,256
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1
2,3,2,2,2,2,2,1,2,3
0.06060606060606061,0.06968641114982578,0.06211180124223602,0.06493506493506493,0.06211180124223602,0.07042253521126761,0.07674597083653109,0.06666666666666667,0.06896551724137931,0.06369426751592357
0.056818181818181816,0.09372071227741331,0.07518796992481203,0.0684931506849315,0.10638297872340426,0.12820512820512822,0.14285714285714285,0.12048192771084336,0.1388888888888889,0.07936507936507936
0.05952380952380952,0.06901311249137336,0.06711409395973154,0.06024096385542168,0.0546448087431694,0.06535947712418301,0.11820330969267138,0.0819672131147541,0.07042253521126761,0.05649717514124294
0.021141649048625793,0.04132231404958678,0.026737967914438502,0.03875968992248062,0.02564102564102564,0.06211180124223602,0.11350737797956867,0.04608294930875576,0.06493506493506493,0.019157088122605363
0.0005555556,0.0003703704,0.0007142857,0.0004761905,0.0004545455,0.0006666667,0.0014285714,0.0001428571,0.0008333333,0.0004
0.0026315789,0.001754386,0.0035714286,0.0009174312,0.0015151515,0.0025,0,0.0034482759,0.002020202,0.0007692308
0.000025,0.00002,0.0000333333,0.0001,0.0000333333,0.0000833333,0.0001,0.00005,0.0001,0
1,1,1,0,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,0
