3d Printer
Ultimaker 2,Lulzbot TAZ 5,Cubify CubePro,Airwolf AW3D HD,Type A Series 1,Makerbot Replicator,Tinkerine Ditto Pro,Mbot Grid II+,Afinia HD480,DeeGreen,CEL Robox,DeltaMaker,Lulzbot Mini,Makerbot Replicator Mini,UP Plus 2
9.33,8.95,8.50,8.48,8.38,7.83,7.65,7.45,7.40,7.35,7.33,7.28,7.08,6.58,6.38
95,85,95,85,75,85,75,65,75,65,80,80,90,80,75
8,9.8,11.2,12,12,5.9,8.9,9.2,5.5,5.9,3.9,10.2,6,4.9,5.3
8.8,10.8,10.5,8,12,7.8,6.5,8.2,5.5,5.9,8.3,9.4,6,3.9,5.5
9,11.7,9,12,12,9.9,8.7,7,5.5,5.9,5.9,9.4,6.2,3.9,5.5
300,200,15,150,250,0,120,120,30,90,0,300,275,0,30
0.02,0.075,0.07,0.06,0.05,0.1,0.05,0.1,0.15,0.1,0.02,0.1,0.05,0.2,0.15
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
0,0,1,0,0,0,0,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.5,0,0,1,1,0,1,0,1,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0.5,0,1,1,0,1,1,0.5,1,0,1,1,0,1
0.0243902439,0.0400801603,0.0101010101,0.0208333333,0.0285714286,0.0555555556,0.0222271616,0.0416666667,0.0312597687,0.037037037,0.0169491525,0.0256410256,0.0400801603,0.0555555556,0
0.5,2,3,0,0,0,0,2,0,0,0,0,0,0,0
100,80,95,85,80,95,90,85,70,75,95,70,75,90,75
0.0377358491,0.041322314,0.0110253583,0.0252525253,0.0333333333,0.0283286119,0.0649350649,0.0252525253,0.0980392157,0.0206185567,0.0546448087,0.0476190476,0.0530503979,0.0454545455,0.0909090909
0.0714285714,0.0492610837,0.0440528634,0.0555555556,0.0444444444,0.0243902439,0.0684931507,0.0628930818,0.0729927007,0.0653594771,0.1063829787,0.0367647059,0.0584795322,0.0666666667,0.0714285714
0.0714285714,0.0487804878,0.0440528634,0.0416666667,0.0546448087,0.022675737,0.0649350649,0.0628930818,0.1041666667,0.0515463918,0.0689655172,0.0549450549,0.0746268657,0.0819672131,0.1052631579
0.0653594771,0.0373134328,0.0431034483,0.0555555556,0.0555555556,0.0189393939,0.0581395349,0.0621118012,0.0980392157,0.064516129,0.0746268657,0.0606060606,0.0657894737,0.0862068966,0.0952380952
1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0,1,0,1
0.4,1,1,0,1,1,0,0,0.6,0,0.6,1,0,1,0.6
0.5,0.5,1,0.5,0,1,0.5,0.5,0,0.5,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
0.25,1,0.25,1,1,1,1,1,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,0
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
1,1,1,1,1,1,0,0,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,1,2,0,0,2,0,0,0,0,0,0,3
