Big Screen TV
Samsung H,Sony W,Sharp Aquos Q,Vizio M,LG,Sony R,Vizio E,Sharp Aquos HD
9.73,9.60,9.00,8.95,8.88,8.85,8.43,7.60
100,95,90,85,90,75,75,80
100,100,90,80,80,80,75,75
2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600
40,40,20,30,20,20,30,20
240,240,240,240,120,240,120,120
0,1,8,20,5,0,5,4
0,178,178,178,178,176,178,178
0,178,178,178,178,176,178,178
1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0.5
1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
4,4,4,4,3,3,4,2
3,2,2,1,3,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1
85,95,70,80,60,95,80,70
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
