ACTION CAMCORDERS
GoPro HERO4 Silver,GoPro HERO4 Black,Drift Innovations Ghost-S,GoPro Hero+ LCD,Sony Action Cam AS100V,Garmin Virb Elite,SJCAM SJ4000,TomTom Bandit,Kodak Pixpro SP1,Contour+2
8.93,8.50,8.35,8.20,8.05,7.70,7.65,7.55,7.40,7.18
100,100,80,80,100,80,75,90,80,80
8294400,8294400,2073600,2073600,2073600,2073600,2073600,8294400,2073600,2073600
2.7,4,2,2,2,2,2,2.7,2,2
12,12,12,8,13.5,16,12,16,14.24,5
240,240,240,60,240,120,60,240,120,120
60,120,60,60,60,30,30,60,30,30
120,120,120,60,120,60,60,120,60,60
170,170,160,170,170,146,170,0,160,170
90,90,210,145,100,180,70,180,130,120
10920,10920,1066,11760,5472,12012,35696,1110,9900,12168
5.2,5.4,6,4.5,4.5,6.3,2.5,6.7,5.4,5.5
131,131,9,131,16,3,98,0,10,197
1,1,1,1,1,1,1,0,1,1
1,1,0,1,1,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0
100,100,100,100,50,100,50,50,75,75
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,1,0
