Budget Micro Projectors
AAXA P4-X,AAXA P3,FAVI RioHD-LED-3,FAVI RioHD-LED-2,3M MP225a,Optoma PT110,Cinemin Swivel,Acer C120,Optoma PT100
9.95,8.68,8.55,7.70,7.03,6.40,5.75,5.73,5.25
100,80,150,150,80,140,60,100,100
80,50,150,75,32,100,8,100,50
2,2,2,2,1,2,0.5,2,2
2000,1000,1000,1000,2000,1000,1000,1000,800
384000,614400,480000,307200,480000,409920,153600,409920,409920
983040,983040,2073600,2073600,480000,786432,153600,1024000,409920
15000,15000,20000,20000,20000,20000,20000,20000,20000
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,0
1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,0,1,1
1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,0
75,65,0,0,120,0,120,0,0
1,1,3,3,1.5,0,0,0,1.5
1,1,1,0,0,0,1,1,0
1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0
1,1,1,1,1,0.25,1,1,0.25
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1
