DVR
TiVo Roamio Pro,Dish Hopper,DirecTV Genie,TiVo Roamio Plus,TiVo Roamio,Magnavox,Dish Network ViP722k Dual,DirecTV Plus HD,Channel Master DVR+,HD HomeRun Dual,Hauppauge HD PVR,AVerTV HD EzRecorder
9.50,9.35,9.20,9.18,9.13,8.13,8.08,8.05,7.93,7.30,6.38,6.13
3,2,1,1,0.5,0.32,0.5,0.5,0.016,0,0,0
6,6,5,6,4,1,2,2,2,1,1,1
450,500,200,150,75,75,55,100,2,0,0,0
3500,2000,800,1200,350,650,350,400,6,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,1,0,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,1,0,0,0,0
0,1,1,0,1,1,0,0,1,1,1,0
1,0,0,1,1,1,0,0,0,0,1,1
1,0,0,1,1,1,0,1,0,1,1,1
0,1,1,0,0,1,1,1,0,0,0,0
1,1,1,1,1,0,0,1,1,1,0,1
1,1,1,1,1,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,1,1,0,0
1,0,1,1,1,0,0,0,1,0,0,0
1,1,1,1,1,0,0,1,1,1,0,0
1,1,1,1,1,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0
1,1,0,1,1,1,1,0,1,1,2,1
1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1
1,1,0,1,1,0,1,0,0,0,0,0
1,0,0,1,1,0,0,0,1,0,0,0
