HDMI Switcher
Kinivo,Monoprice,Etekcity,Orei,Masscool,IOGEAR,Fosmon,Sewell,C&E,CE Labs
9.40,9.15,9.00,8.25,8.05,7.88,7.65,7.33,6.98,6.80
1,1,1,1,0,1,0,0,0,0
1,0,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0
36,36,48,0,12,0,12,12,12,12
1.3,1.3,1.4,1.3,1.35,1.35,1.3,1.35,1.35,1.3
1.2,2,1.4,2,2,2,1.1,2,2,2
1080,1080,4000,1080,1080,1080,1080,1080,1080,1080
1,1,1,1,1,0,1,0,1,1
5,5,4,5,5,3,5,3,3,3
5,5,1,5,5,3,5,5,5,3
0,0,0,0,1,0,1,1,1,0
1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0
0.0472589792,0.0268744961,0.0452693526,0.03125,0.1486546752,0.0058479532,0.0122070312,0.0205195551,0.0625,0.2314814815
1,1,1,3,1,1,1,1,0,1
1,1,1,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,1
1,1,1,0,1,1,0,1,0,1
