HDTV Antenna
Winegard,Channel Master,Terk,AmazonBasics,Mohu,HomeWorx,1Byone,Antennas Direct,RCA,Insignia
9.65,9.50,9.48,9.45,9.38,9.03,9.00,8.25,7.90,6.63
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
95,85,95,75,75,95,60,60,60,50
50,50,50,50,50,50,50,30,30,30
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1,0
0.1838235294,0.2222222222,0.625,0.8333333333,0.0961538462,0.3125,1,0.2222222222,0.4201680672,0.125
0.0769230769,0.0657894737,0.1111111111,0.0769230769,0.08,0.1204819277,0.0892857143,0.1,0.0683526999,0.1239157373
0,0.4,0.4,0,0.6666666667,10,0,0.2222222222,0.6134969325,0.2309468822
0.0833333333,0.08,0.1020408163,0.0833333333,0.0833333333,0.2127659574,0.0980392157,0.0909090909,0.0930232558,0.1661129568
50,1,1,1,1,1,1,50,1,1
1,1,1,1,1,0,1,1,1,1
1,1,0.5,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,0,1
0.5,0,0,1,0,0,0,1,0,0
