Home Theater Projectors
Panasonic PT-AE4000U,Optoma HD20,BenQ W1000,Sony BRAVIA VPL-HW15,Vivitek H1080FD,Mitsubishi HC3800,Sony 3LCD VPL-BW7,Acer H5360
9.60,9.38,9.03,8.98,8.75,8.60,8.28,7.85
1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1600,1700,2000,1000,1800,1300,2000,2500
1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,1
0,0,0,1,0,0,0,0
100000,4000,3000,60000,5000,4000,1000,3200
0.0222,0.01693,0.0423,0.018,0.02777,0.0083,0.017,0.02525
711,393.6,122.04,564,360,180.1,303.6,405.6
0.025,0.0266,0.0416,0.02525,0.04,0.025,0.025,0.037
300,301.1,300,300,300,300,200,300
1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1
1,1,1,1,1,0,0,1
1,0,1,1,1,1,1,1
1,0,0,0,0,1,0,1
1,0,1,1,1,1,0,1
1,1,0,0,1,0,0,1
1,1,0,0,1,1,0,0
0,0,0,0,0,0,1,0
0,0,1,0,1,0,0,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1
0,0,0,1,0,0,1,0
