Kitchen TV
Coby TFDVD1595,Toshiba 15LV505,SuperSonic SC-1568D,Coby TFTV1525,Viore PLC10V49
8.73,8.20,8.13,8.10,6.35
15.6,15.6,15.6,15.6,10.2
1,1,1,1,1
1,1,1,0,0
6,2,0,6,2
0,0.0285714286,0.0166666667,0.025,0.0416666667
1,1,1,1,1
1,1,0,1,0
0,0,0,0,1
0.125,0.2,0,0.125,0
1049088,1049088,1764000,1049088,384000
220,0,300,220,250
600,0,800,600,300
0,150,160,0,130
0,170,160,0,110
1,0,1,1,0
1,1,1,1,1
1,1,1,1,0
1,0,1,1,0
1,1,1,1,1
1,0,1,0,1
1,0,1,0,1
1,1,1,1,1
0.25,1,0.25,0.25,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,0,1,1
