LED TV
LG EC9300,Samsung JU7500,Samsung JU7100,Sony X850C,LG UF7600,Vizio M,Panasonic CX800U,Sharp UB30U,TCL Ro000u TV
9.63,9.53,9.13,8.13,7.78,7.40,6.95,6.73,6.03
9,8,5,7,1,4,4,5,1
1,1,0,0,0,0,0,0,0
1080,4000,4000,4000,4000,4000,4000,4000,1080
240,240,240,120,120,120,120,60,120
1,1,1,1,1,1,1,0,1
1,1,1,1,0,0,1,0,0
4,1,0,0,0,0,0,0,0
40,20,30,20,20,30,20,20,16
0,20,30,0,0,0,0,0,0
9,8,8,4,9,2,6,3,3
1,1,1,1,1,0,0,0,0
1,1,1,1,1,0,0,1,1
1,1,1,1,1,0,1,0,0.5
1,0.5,0.5,0,1,0,0,0,0
5,9,9,5,5,3,0.4,1,9
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1
1,1,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,1
0,1,1,0,0,0,0,0,1
1,1,1,0,1,1,0,0,1
0,1,1,1,0,1,0,1,1
0,1,1,1,0,1,0,0,1
1,1,1,0,1,0,0,1,0
1,1,1,1,0,1,0,0,1
1,1,1,1,1,0,1,1,0
4,4,4,4,3,5,3,4,3
3,3,3,3,3,1,3,2,1
1,1,1,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
6,7,7,0.4,6,8,4,6,6
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1
