Mini Projector
M2 Micro Projector,Acer K11,Optoma PK301 Pico,PocketCinema V50,Dell M109S On-the-Go,3M PocketProjector MP160,Samsung SP-H03
9.88,9.70,9.20,8.95,8.63,8.50,8.38
110,200,50,50,30,30,30
100,80,120,85,80,80,80
1.333,1.333,1.777,1.777,1.333,1.777,1.777
1920000,1296000,1024000,407040,939600,409920,409920
786432,514800,409920,407040,480000,409920,409920
2000,2000,2000,2000,800,1000,1000
1,1,1,1,0,1,1
1,1,1,0,1,1,1
1,1,1,0,1,0,1
1,1,1,0,0,0,0
15000,30000,20000,20000,20000,30000,30000
1.5,1,0.5,0.5,0.75,1,1
0,0,1,2,2,0,2
1,1,1,1,0,1,1
1,0,0.128,0.128,0,0,1
1,1,1,1,1,1,1
