Plasma TV
Panasonic Viera ZT60,Samsung F8500,Panasonic Viera VT60,LG PH6700,Panasonic Viera ST60,Samsung 8000,LG PN5700,Samsung 5500,Samsung 6500,Panasonic Smart Viera UT50,Panasonic Smart Viera S60,Samsung F5300,Samsung 530,Panasonic Viera X60,Samsung 4500
9.28,9.25,9.23,9.03,8.98,8.93,8.78,8.78,8.48,8.45,7.88,7.45,7.23,7.00,6.33
2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,786432,786432
6000000,0,6000000,3000000,5500000,0,3000000,0,0,0,4000000,0,0,3500000,0
100,95,95,90,90,80,80,75,75,75,70,70,65,45,45
65,64,65,60,65,64,60,64,60,60,65,64,60,50,51
10,20,10,20,20,20,20,20,20,20,20,20,20,20,20
0.0018939394,0.004587156,0.0067114094,0.0041666667,0.0073529412,0,0.005952381,0.0033444816,0.0033444816,0.0084033613,0.0073529412,0.0033444816,0,0.0101010101,0.012345679
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
3,4,3,3,3,3,3,3,3,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,3,3,2,3,3,2,2,2,2,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
