Smart TVs
Samsung H Series,Sony W LED TV,Panasonic AS,LG LB Series,Vizio M,Sharp Aquos Q,TCL Roku TV,Hisense,JVC Emerald Roku
9.53,9.48,9.28,9.13,8.95,8.90,7.38,7.23,6.88
85,85,90,95,85,75,75,75,70
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,0,0,0
1,1,0,1,1,0,0,0,0
1,1,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0
100,95,95,90,85,90,65,65,65
100,100,85,80,80,90,65,60,60
2073600,2457600,2457600,2457600,2457600,2457600,2457600,2457600,2457600
40,20,20,20,30,20,16,14,20
0,0,0,120,240,240,120,60,120
0,1,0,0,20,8,5,0,0
178,178,178,0,178,178,178,178,178
178,178,178,0,178,178,178,178,178
4,4,3,3,4,4,3,3,3
3,2,2,3,1,2,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1
90,95,85,70,80,70,60,65,65
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
