AIR PURIFIER
Alen BreatheSmart,Coway,RabbitAir Minus A2,Blueair 600 series,Whirlpool Whispure,blueair 400 Series,Idylis,Winix FresHome Series,Winix PlasmaWave Series,Electrolux Oxygen Ultra,Blueair 500 Series,Honeywell HPA,Vornado AC,Alen Paralda,Winix Ultimate Pet Series,Fellowes AP,Coway Mask2,Fellowes AeraMax,Blueair 200 Series,Honeywell 50000 Series,Luma Comfort,SPT Heavy Duty,Have Fresh NaturoPure,Oreck Airlnstinct,Filtrete Air Purifier,Oreck OptiMax,Honeywell Air Genius,Oreck DualMax,Honeywell 10000 Series,Kenmore 2-Filter,Sharper Image Ionic Comfort,Crane Gem Defense,Envion Therapure Series
9.70,9.48,9.28,8.90,8.88,8.65,7.78,7.75,7.70,7.65,7.53,7.00,6.95,6.88,6.63,6.40,5.90,5.88,5.50,5.45,5.28,5.00,4.85,4.78,4.73,4.58,4.48,4.10,4.08,3.98,3.33,3.23,3.03
256,210,193,450,315,240,200,291,236,261,375,300,219,97,183,191,165,191,145,250,258,260,165,160,224,152,161,130,130,200,176,121,108
276,246,200,400,325,240,215,298,248,262,375,320,217,107,182,200,176,196,145,250,258,0,165,160,274,152,160,130,130,200,225,147,149
301,240,201,450,401,240,215,343,252,253,375,300,219,114,194,201,162,188,145,250,258,0,165,160,312,152,170,130,130,20,237,149,155
550,325,350,872.5,600,456.3,310,562.5,437.5,400,725,372,403,2,250,355,375,0,375,300,0,300,517.3,268.8,285.2,551.3,0,0,0,0,0,400,0,220
56,53.8,45.6,66,30,52,54.2,60,64.4,57.1,66,0,75,60,61.8,54,50.6,70,56,0,57.2,60,60,0,58,0,0,0,0,63,0,0,0
41.5,24.4,20.8,32,10,32,31.3,27,0,26,32,0,56,37.5,0,30,30,40,32,0,48.6,43,22,0,41,0,0,0,0,0,0,0,0
286,268.4,187,490,315,280,247.2,290,245,258.7,414,0,214,118,184,200,201.3,195,150,0,155,276,165,0,293,0,0,0,0,0,270,0,0
3,3,4,2,2,2,2,3,3,3,2,2,2,2,5,4,4,4,2,2,5,5,5,3,1,2,2,2,2,2,2,2,3
3,1,2,3,3,3,2,3,2,2,3,2,2,1,2,2,1,2,2,2,1,3,1,1,3,1,1,1,1,2,2,1,1
2,2,2,1,0,1,0,1,2,1,1,0,0,2,2,1,2,1,1,0,0,0,1,0,0,2,1,0,0,0,1,1,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,41,24,78,105,55,95,61,38,60,77,48,105,56,70,35,88,86,50,204,100,182,55,0,110,0,38,40,85,0,16,0,55
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
50,3,5,5,5,5,5,3,1,5,1,5,5,50,1,5,3,3,1,5,1,1,3,5,1,3,5,5,5,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0
