TV Wall Mounts
Level Mount DC50CDM,Arrowmounts AM-P18S,Sanus Systems VMPL50A-B1,Arrowmounts AM-T102MB,Mount-It MI-318B,ProMounts UT-PRO310,Mount-it MI-303L,Cheetah Mounts APTMM2B,ProMounts SFTL,VideoSecu Tilt M43
9.78,9.40,9.35,8.88,8.65,8.60,8.25,7.33,7.20,7.13
15,15,10,15,12,20,15,25,15,15
31.0,30.0,38.0,18.0,28.0,26.0,30.0,23.0,33.0,28.0
2.5,3,1.8,2.4,1.5,2.5,3.1,1.9,1,2.2
200,165,150,100,175,200,220,160,150,165
14,14,14,11,13,14,14,11,14,12
1,1,0,1,0,0,1,1,0,1
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,0,0
50,2,10,2,5,50,5,0,0,0
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
