3D TV
Samsung H,Sharp Aquos,LG 3D LED,Sony W,Samsung F,Panasonic,Vizio,LG LED Google TV,Hisense,JVC Sapphire
9.70,9.58,9.45,9.45,9.35,9.28,9.13,9.10,8.60,8.20
95,90,90,95,75,80,75,70,65,60
1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
75,80,70,55,75,60,75,55,55,55
45,60,55,50,55,50,55,47,42,42
2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600
178,176,178,178,178,178,178,178,178,178
2,2,2,2,2,4,4,4,2,4
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0
1,0,1,1,1,1,0,1,0,0
4,4,3,4,4,3,4,4,4,4
3,2,3,2,3,2,2,3,2,2
1,1,1,1,2,1,1,1,1,1
1,2,1,1,1,1,1,2,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,0
