Android Phone
Samsung Galaxy,LG G2,Samsung Galaxy Note,HTC One,LG Optimus,Motorola Moto,Google Nexus,Motorola Droid,HTC Evo,000yocera Hydro,Pantech Perception
9.35,9.00,8.23,8.13,7.35,6.33,6.25,5.90,5.40,4.90,4.50
5.1,5.2,5.7,4.7,5.5,4.7,4.95,5,4.7,4.3,4.8
1080,1080,1080,1080,1080,720,1080,720,720,720,720
432,423,386,468,401,312,445,294,312,342,306
0.1956947162,0.1984126984,0.1686340641,0.1984126984,0.1647446458,0.2178649237,0.2178649237,0.2070393375,0.2114164905,0.2212389381,0.2070393375
0.1000060804,0.0961919992,0.0855957356,0.0923429503,0.0773790359,0.094141384,0.0997519568,0.1220246129,0.1013311365,0.1009366925,0.1040565402
100,70,80,65,65,65,40,65,45,35,35
13,13,13,4,13,10,8,10,8,8,8
2.2,2.4,2.2,2,2.4,2.4,2.5,2.4,2,2.6,2.6
4000,1080,4000,1080,1080,1080,1080,1080,1080,1080,1080
120,60,120,96,30,60,30,60,30,30,30
0,1,0,1,0,0,1,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0
2,2.1,2,2.1,2.1,2,1.3,2,1.3,1.3,2
1080,1080,1080,1080,1080,1080,720,1080,720,720,480
21,25,25,13.5,21,13.5,16.5,14,7.5,13,8.5
390,540,528,500,550,240,300,312,144,236,278
10,11.5,5,10,6.5,8.5,4.5,7.5,5.5,7,6
12,12,13.5,10,8.5,10,5,9,9,8,7
2800,3000,3200,2300,3140,2200,2300,2130,2000,2100,2020
0.5,0.5,0,0,0,0,1,1,0,1,0
90,88,86,65,57,57,70,58,37,32,38
2.5,2.26,2.3,1.7,1.7,1.7,2.26,1.7,1.5,1.5,1.5
4,4,4,4,4,2,4,2,2,2,2
2,2,3,2,2,2,2,2,1,1.5,1
32,32,32,64,32,32,32,16,16,16,16
1,0,1,0,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0
