Bluetooth Headset
Plantronics Voyager Legend,Jawbone Era,Plantronics Voyager Edge,VXi BlueParrott Reveal,Jabra Motion,Jabra Stealth,BlueAnt Q3,Motorola Sliver II,Jabra Storm,Motorola Moto Hint
9.80,9.38,9.08,8.93,8.60,8.25,7.78,7.73,7.70,7.23
100,95,100,100,95,90,90,90,90,85
95,95,85,100,90,75,80,70,65,80
1,1,1,0,1,1,1,1,0,1
1,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0
100,100,75,75,75,75,50,100,100,25
1.5873015873,4.7619047619,3.125,1.724137931,1.6129032258,3.5714285714,2.8571428571,2.0408163265,3.5714285714,5
3,4,3,5,3,6,1,4,2,3
1,0,0,1,1,1,1,1,1,0
0,1,1,1,0,1,0,0,0,0
3,2.1,4,4,4,4,3,3,4,3
1,1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,0,1,1,0,0,1
1,1,1,0,0,1,0,1,1,1
1,1,1,1,1,0,1,0,1,0
1,1,1,0,1,0,0,0,0,1
7,4,6,7,7,6,7,5,10,3.3
1.5,1,1.5,3.5,2,2,2,2.5,2,2
11,10,7,6.25,15,10,11,12,10,4.16
1,1,1,0,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0
1,1,1,0,0,0,0,1,0,1
