Cell Phone Booster
weBoost Drive 4G-M,SureCall TriFlex2Go,SmoothTalker Mobile X1,weBoost Drive 3G-X Extreme,SureCall Flex2Go,weBoost Drive 3G-M,weBoost Drive 3G-Flex,weBoost Drive 4G-S,weBoost Drive 3G-S,zBoost Mobile1
9.80,9.38,9.18,9.05,8.88,8.53,8.28,7.85,7.60,7.48
50,50,50,50,50,50,45,23,26,40
0.3333333333,0.2,0.2,0.3333333333,0.2,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333
5,3,2,2,2,2,2,5,2,2
1,1,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0.5,0.5,0.5
10,10,15,10,10,10,10,10,10,10
14,10,4,14,10,14,14,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
4,12,14,12,12,12,4,4,4,4
3.5,4,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5
2.62,5,5,5.62,5,5.62,2.62,2.62,2.62,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,2,3,2,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,0,0,1,0,1,1,1,1,1
