Emergency Cell Phone
Jethro,Jitterbug5,Jethro SC213,Doro 618,TracFone,Snapfon ezTWO,Jethro Arcci,GreatCall Splash,Firefly glowPhone,GizmoPal
8.08,8.00,7.73,7.70,7.70,7.20,6.53,4.43,4.25,3.98
79,68,68,50,70,90,48,80,45,26
1.9,2.4,2.3,2.5,2.4,2.4,1.9,0,1.6,0
0.6,0.4,0.6,0.5,0.6,0.6,0.8,0.6,0.7,0.4
1,0,0,0,0,1,0,0,0,1
1,1,1,1,1,1,0,0,1,1
0.3846153846,0.2631578947,0.3333333333,0.3125,0.2777777778,0.303030303,0.3333333333,0.625,0.3125,0.6666666667
94,0,94,0,0,91,86,0,0,0
1,1,1,0,0,1,1,1,1,0
1,1,1,0,0,1,1,1,0,0
1,1,1,0,0,1,1,1,1,0
0,4,0,3,3,3,0,3,0,0
1,0,0,0,0,1,1,0,0,0
1,0,0,1,1,1,0,0,0,1
1,1,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,0,0,0,0,0
1,1,0,1,1,1,0,1,0,1
1,1,0,1,1,1,0,0,0,1
0,1,0,0,0,0,0,1,0,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
0,1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0,0,0
1,1,1,1,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0
1,0,1,1,0,0,1,0,0,0
0,0,1,1,1,0,1,0,0,0
1,0,1,1,1,1,1,0,1,0
1,0,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,0,0,1
180,600,96,240,240,120,200,72,210,138
3.6,3.1,3.8,4,3.5,3,3.3,2,5,2.5
800,1000,800,900,950,1000,1000,500,750,400
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,0,0,0,1,1
