iPhone Screen Protector
Sir Lancelot's Armor,ZAGG,ScreenGuardz,Tech Armor Ultra Clear Ballistic Glass,Good Gadget,Clarivue,Spigen,3M,MediaDevil,SkinIt,NuShield,Halo,DecalSkin
9.28,9.25,9.03,9.00,8.98,8.73,8.73,7.78,7.10,6.35,5.90,5.83,5.78
100,100,70,100,100,85,100,85,90,80,50,65,50
9,0,8.5,9,9,9,9,0,0,0,3,0,0
0.4,0.39,0.4,0.4,0.38,0.3,0.5,0.076,0,0,0.127,0,0
1,1,1,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,0,0,1,1
1,0,1,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
100,90,85,95,100,90,60,80,85,70,55,75,70
95,80,85,85,90,80,100,65,70,60,35,55,55
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,1,0,0,1,1
1,1,1,1,0,1,0,1,1,1,0,1,1
1,0,1,1,0,1,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0,0
30,45,30,30,30,30,30,365,30,30,60,14,14
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1,1,0,1
0,1,1,1,1,1,1,0,1,1,1,0,1
0,1,1,0,0,0.5,0,1,0.5,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0
2,4,6,5,2,5,6,3,3,1,2,2,0
2,0,0,0,5,0,0,0,0,0,0,0,0
2,0,0,1,5,0,0,0,0,0,0,0,0
1,4,6,4,2,4,3,3,3,1,2,2,1
