Pay-As-You-Go Cell Phone
Samsung Vitality,Blackberry Curve 8520,LG Rumor Touch,Nokia X2,Nokia 5230 Nuron,Samsung Solstice II,LG Neon II,Samsung Gusto
9.28,7.95,7.03,6.63,6.40,5.88,5.58,3.50
250,408,160,501,438,240,264,350
390,270,150,270,420,300,264,420
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
3.2,2,3.2,2,0.3,2,2,0.3
1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
32,16,32,16,16,16,16,0
3.5,2.46,3,3.2,3.2,1.54,1.54,2
1.6666666667,2,1.5873015873,1.7857142857,1.6666666667,2.1276595745,1.6666666667,1.3157894737
0.2173913043,0.25,0.2358490566,0.2127659574,0.2272727273,0.2331002331,0.2463054187,0.2570694087
0.4166666667,0.406504065,0.462962963,0.4255319149,0.5,0.4694835681,0.5102040816,0.5291005291
0.2403846154,0.2659574468,0.2178649237,0.2631578947,0.25,0.3333333333,0.25,0.3048780488
