Solar Phone Chargers
Voltaic Amp,JOOS Orange,Voltaic Fuse 6W,Solio Classic2,PowerBank CVADG-S81,PowerBank CVADG-S69,Solio BOLT,Opteka BP-SC4000,XTG-SOL1500,Sunlinq 1
9.15,8.70,8.45,7.95,7.88,7.83,7.73,7.18,6.20,4.00
0.1904761905,0.0833333333,0.1666666667,0.1111111111,0.0625,0.0625,0.08,0.1111111111,0.1,0
0.2083333333,0.1538461538,0.2083333333,0.25,0.0833333333,0.0833333333,0.4166666667,0.2083333333,0.5555555556,0
1,1,1,1,0,0,1,1,1,0
4000,5400,4000,3200,10000,10000,2000,4000,1500,0
1,1,1,1,1,1,1,1,1,0
19,19,19,17,16,14,7,9,6,10
7.0,6.2,7.0,5.5,5.0,5.0,5.5,5.0,4.0,5.0
0.5,0.5,0.25,1,1,1,1,1,1,1
1.00,0.80,1.00,0.45,1.00,1.00,0.16,0.25,0.12,0.40
94,73,65,86,95,95,95,99,100,66
0.0537634409,0.04,0.0436681223,0.099009901,0.1298701299,0.1298701299,0.1818181818,0.2040816327,0.2777777778,0.2272727273
1,1,1,1,2,2,1,1,1,1
1,1,1,0,0,0,0,0,0,1
0.0157790927,0.0171948477,0.0165289256,0.0212332258,0.0471102568,0.0482873072,0.0816326531,0.0987654321,0.0880127978,0.0079365079
24,12,24,12,12,12,12,12,1,12
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,0,0,1
