BASE BOARD
Dimplex,Cadet 8F2000W,Cadet EBHN1 500W,Qmark,Cadet 4F1000W,Fahrenheat PLF1004,King 8CB,King 4K,Cadet 2F500W,Fahrenheat PLF504
9.98,9.23,8.55,8.23,7.88,7.85,7.50,7.13,6.38,6.35
250,200,150,125,100,100,150,100,50,50
8525,6820,5115,4263,3410,3410,5115,3410,1705,1705
2500,2000,1500,1250,1000,1000,1500,1000,500,500
1,0,0,0,0,0,0,0,0,0
0.016666666666667,0.010416666666667,0.012048192771084,0.017241379310345,0.020833333333333,0.021739130434783,0.010204081632653,0.020833333333333,0.033333333333333,0.035714285714286
0.150829562594268,0.148148148148148,0.105263157894737,0.148148148148148,0.148148148148148,0.125000000000000,0.125000000000000,0.148148148148148,0.148148148148148,0.160000000000000
0.420168067226891,0.400000000000000,0.307692307692308,0.344827586206897,0.400000000000000,0.333333333333333,0.263157894736842,0.275482093663912,0.400000000000000,0.333333333333333
1,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1
10,50,7,10,50,10,5,1,50,10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
