Compact Digital Camera
Fujifilm X100T,Sony Cyber-shot DSC-RX100 III,Panasonic Lumix DMC-LX100,Sony Cyber-shot DSC-RX100 II,Canon PowerShot G7 X,Fujifilm X30,Olympus Stylus 1,Canon PowerShot G1 X Mark II,Nikon Coolpix P7800,Ricoh GR
9.40,9.25,8.83,8.78,8.38,8.13,7.88,7.78,7.70,7.28
2,1,3,1,1,3,1.7,1.5,1.7,2
0,495,553,483,556,0,179,581,200,972
0,12.3,12.5,12.4,12.7,0,11.6,10.8,11.7,13.5
0,22.4,22.3,22.5,23,0,11.6,10.8,11.7,13.5
16.3,20.2,12.8,20.2,20.2,12.0,12.0,13.1,12.2,16.2
0.5,0.5555555556,0.5882352941,0.5555555556,0.5555555556,0.5,0.3571428571,0.5,0.5,0.3571428571
35,46,46,72,76,84,272,96,172,28
0,25,49,25,31,49,35,31,31,0
6,10,11,9.6,6.5,12,8.1,5.3,8.47,4
6200.0,12675.0,25400.0,12640.0,12675.0,12700.0,12700.0,12700.0,3120.0,25500.0
32000,2000,16000,2000,2000,4000,2000,4000,4000,4000
1,1,1,1,0,0,1,0,0,1
0,1,1,1,1,1,1,1,1,0
330,320,300,350,210,470,410,240,350,290
100,50,50,50,100,100,75,75,100,100
2,1,1,0,0,1,1,0,1,0
0.064516129,0.099009901,0.071942446,0.101010101,0.0934579439,0.067114094,0.0699300699,0.0502512563,0.0709219858,0.1162790698
0.019047619,0.0390625,0.0224466891,0.0416666667,0.0371802499,0.0188622303,0.0214813542,0.0181765305,0.0226346763,0.0337564137
3,3,3,3,3,3,3,3,3,3
345600,307200,307200,307200,345600,307200,0,345600,203400,307200
0,1,0,1,1,1,1,1,1,0
1,0,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1080,1080,4000,1080,1080,1080,1080,1080,1080,1080
60,60,60,60,60,60,240,30,30,60
60,60,60,60,60,60,30,30,30,45
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,0,1,1,0
1,1,1,1,0,0,0,0,1,0
0,0,0,0,1,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,0,0,0,0,0
