Digital Cameras for Children
VTech Kidizoom Spin & Smile,VTech Kidizoom Action Cam,VTech Kidizoom Camera Connect,Playskool Showcam,Fisher Price Kid Tough,Discovery Kids Digital Camera,Sakar Hello Kitty,Sakar Nerf 2.1MP,Sakar SpongeBob,Sakar Dora The Explorer
9.53,9.45,9.25,8.08,7.83,7.60,7.10,6.73,6.63,6.08
90,100,90,80,70,60,50,40,50,50
1,1,1,0,1,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0
100,80,100,50,70,60,50,50,30,30
2.2,1.5,1.8,1.75,1.4,1.5,1.5,1.5,0,0
0.25,2,0.25,0.25,0.25,0.25,0.33,0.33,0.5,0.5
350,600,1000,1000,2000,120,120,100,152,52
1,1,1,0,0,0,0,0,0,0
1,0,1,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,1,0
1,1,1,0,0,1,1,1,1,1
100,100,90,80,70,60,50,50,50,30
2,0.3,1.3,2,0.3,2,2.1,2.1,0.3,0.3
4,0,4,0,4,0,0,4,4,0
1,1,1,0,0,1,1,0,1,1
0,1,0,0,0,0,1,0,1,1
1,1,0,0,0,0,1,0,1,1
1,1,1,1,0,0,0,0,0,0
1,1,1,0,1,0,1,1,1,1
0.25,0.25,0.25,0.18,0,0.25,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
