Entry-Level DSLR Cameras
Nikon D5500,Nikon D5300,Nikon D3300,Nikon D5200,Nikon D3200,Sony Alpha a58,Canon Rebel T5i,Pentax K-50,Pentax K-30,Canon EOS Rebel SL1
9.75,8.38,8.20,7.75,7.28,7.25,6.83,6.75,6.60,6.20
24.2,24.2,24.2,24.1,24.2,20.4,18,16.3,16.3,18
24.1,24,24.3,24.2,24.8,23.3,21.7,23.7,23.7,21.8
14,13.9,12.8,13.9,13.2,12.5,11.2,13,13,11.3
1438,1338,1385,1284,1131,753,681,1120,1129,843
1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
1080,1080,1080,1080,720,1080,720,720,720,720
0,0,1,1,1,1,1,1,1,1
820,600,700,500,540,690,440,480,410,340
5,5,5,5,4,8,5,6,6,4
39,39,11,39,11,15,9,11,11,9
4000,4000,4000,4000,4000,4000,4000,6000,6000,4000
25600,12800,12800,6400,6400,16000,12800,12800,12800,12800
0,25600,25600,25600,12800,25600,25600,51200,25600,25600
0.067114094,0.0591715976,0.0689655172,0.0561797753,0.0625,0.0574712644,0.0540540541,0.0480769231,0.0483091787,0.0694444444
0.0148747546,0.0138831043,0.0138831043,0.0124021778,0.0129032258,0.0124021778,0.0119297576,0.0137309826,0.0137309826,0.0175033256
3,3.2,3,3,3,2.7,3,3,3,3
1,1,0,1,0,1,1,0,0,0
1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1
1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,0,0
