Game Camera
Moultrie Panoramic 150,Bushnell Trophy Cam HD Essential,Browning Strike Force,Stealth Cam G30,Moultrie M-880i,Browning Range Ops XR,PlotWatcher Pro,SPYPOINT HD7,Primos Truth Cam 35,Moultrie A-5
9.45,9.25,8.98,8.08,7.98,7.78,6.63,5.98,4.58,3.75
150,55,55,50,50,50,54,35,42,42
100,80,100,80,70,50,0,50,40,50
8,12,10,8,8,8,0,7,3,5
720,720,720,720,720,720,720,720,480,480
60,80,55,60,50,50,0,50,50,40
150,55,55,50,50,50,0,35,42,42
1.1111111111,3.3333333333,1.4925373134,2,1.25,1.4925373134,0,1,0.6666666667,0.6666666667
0.1612903226,1,0.4347826087,0.2,0.2,0.4761904762,0,0.1,0.1428571429,0.0166666667
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0
0.008,0.0138888889,0.0197530864,0.0132231405,0.0133333333,0.016,0.0052083333,0.0133333333,0.0041152263,0.0081632653
6,8,6,8,8,8,8,6,4,0
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,0,0
75,100,75,100,75,75,75,88,88,75
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
