Point and Shoot Camera
Sony Cyber-shot DSC-R100,Canon PowerShot G16,Panasonic Lumi DMC-L7,Panasonic Lumi DMC-ZS50,Fujifilm Q2,Samsung Galay Camera 2,Nikon Coolpi S9900,Sony Cyber-shot DSC-W350,Samsung WB350,Canon ELPH 350 HS
8.78,8.30,8.08,7.98,7.68,7.35,7.23,7.18,6.98,6.23
1,1.7,1.7,2.3,3,2.3,2.3,2.3,2.3,2.3
20.2,12.1,10.1,12.1,12,16.3,16,18.2,16.3,20
100,90,90,70,80,65,65,65,60,60
100,90,95,70,85,70,70,70,70,65
95,100,90,80,85,80,95,95,70,80
1,1,1,1,1,0,0,0,1,0
330,360,330,300,240,400,300,470,310,185
4.9,2.8,2.3,8.0,4.9,5.9,6.4,6.5,5.9,7.0
3.6,5,3.8,30,3.6,21,30,20,21,12
1,1,1,1,1,0.5,1,1,0.5,0.5
3200,12800,1600,6400,3200,3200,6400,12800,3200,3200
0.0005,0.00025,0.00025,0.0005,0.00025,0.0005,0.00025,0.000625,0.0005,0.0005
0.0333333333,0.004,0.004,0.0166666667,0.0333333333,0.0625,0.125,0.25,0.0625,0.0666666667
1,1,1,1,1,1,0,1,1,1
80,100,80,65,80,76,66,66,70,50
0,1,0,1,1,1,1,1,1,1
0,0,0,1,0,1,1,0,1,1
0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,1,0
0.0434027778,0.0330261429,0.029359522,0.0368949233,0.0505740151,0.0368949233,0.0322830579,0.0692520776,0.049382716,0.0730513551
0.1176470588,0.0796178344,0.0946969697,0.1162790698,0.1369863014,0.1162790698,0.0980392157,0.2083333333,0.1298701299,0.1923076923
1,0,1,1,0,1,1,1,1,0
1,1,1,1,0,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,1,0,0
