Professional DSLR
Nikon D750,Nikon D4S,Nikon D810,Canon EOS 1D X,Sony Alpha a99,Nikon D610,Canon EOS 5D Mark III,Nikon D7200,Canon EOS 6D,Canon EOS 7D Mark II
9.05,9.00,8.50,8.45,8.35,8.23,7.85,7.78,7.63,7.58
24.3,16.2,36.2,18.1,24.3,24.3,22.3,24.2,20.2,20.2
24.8,24.4,25.7,23.8,25,25.1,24,24.5,23.8,22.4
14.5,13.3,14.8,11.8,14,14.4,11.7,14.6,12.1,11.8
2956,3074,2853,2786,1555,2925,2293,1333,2340,1082
1,1,1,0.5,1,0.5,0.5,0.5,0.5,1
1,1,1,0.5,1,0.5,0.5,0.5,0.5,1
1,1,0,1,1,1,1,0,1,1
1230,3020,1200,1120,410,900,950,1110,1090,620
6.6,10.6,5.1,12,6,5.9,6,5.8,4.4,10
51,51,51,61,19,39,61,51,11,65
15,15,15,41,11,9,41,15,1,65
12800,25600,12800,51200,25600,6400,25600,25600,25600,16000
51200,409600,51200,204800,51200,25600,51200,102400,102400,51200
4000,8000,8000,8000,8000,4000,8000,8000,8000,8000
0,0,0,0,1,0,0,0,0,0
0.0223713647,0.0209205021,0.0286532951,0.0182815356,0.0342465753,0.0210084034,0.0298507463,0.0434782609,0.0374531835,0.031152648
0.010663823,0.0069986842,0.0096183441,0.0078832025,0.0095891987,0.0099649235,0.0092592593,0.0118666192,0.0109923933,0.0092668959
3.2,3.2,3.2,3.2,3,3.2,3.2,3.2,3,3.2
1229000,921600,1229000,1040000,1228800,921000,1044000,1228800,1040000,1040000
1,0,0,0,1,0,0,0,0,0
1,0,1,0,0,1,0,1,0,1
1,0,1,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,0,1
1,0,1,0,1,1,1,1,1,1
0,1,1,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0
