Waterproof Camera
Nikon COOLPI,Panasonic LUMI WiFi DMC,Fujifilm FinePi,Olympus Stylus,Sony Cyber-shot,Ricoh,Canon PowerShot,Polaroid iSO85,Bell+Howell WP16 Splash2,Vivitar ViviCam
9.70,8.83,8.70,8.58,8.48,7.83,7.50,4.58,4.20,2.83
3540,2580,5880,3000,1980,4680,4920,300,600,1000
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.03,0.03
1,1,1,1,1,1,1,0,0,0
6.5,6.6,5.7,7,5,4.9,6.5,0,0,0
1,1,1,1,1,1,1,0,0,0
0,1,0,1,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0,0
8,8,5,8,8,5,2,2,0.4,0.4
8,5,5,2,5,5,0.4,0.4,0.4,0.1
16.0,16.1,16.4,16.0,18.2,16.0,12.1,16.0,16.0,14.0
0.008,0.01,0.01,0.008,0.0125,0.008,0.01,0.005,0,0.01
1600,3200,6400,6400,3200,6400,3200,800,0,800
4000,1300,2000,2000,160,4000,1600,0,2000,0
5,4.6,5,5,5,5,5,0,0,4
4,4,2,4,10,7.2,4,5,4,5
17.2,16.9,20,15,104,20,20,0,150,0
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1080,1080,1080,1080,1080,1080,1080,720,720,480
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,0,0,0
1,0,1,1,1,1,1,0,0,0
350,370,210,300,250,300,300,0,0,0
329,10,96,37,48,68,0,0,16,0
3.0,3.0,2.7,3.0,3.3,2.7,3.0,2.7,2.5,2.7
0.2272727273,0.2325581395,0.25,0.2272727273,0.2631578947,0.2083333333,0.2325581395,0.2631578947,0.243902439,0.2631578947
0.3846153846,0.3703703704,1,0.4,0.4347826087,0.4166666667,0.3703703704,0.3846153846,0.3846153846,0.4166666667
1,0.9090909091,1,0.9090909091,1.6666666667,0.8333333333,0.9090909091,0.9090909091,1.1111111111,1.1111111111
0.1333333333,0.1333333333,0.1587301587,0.1298701299,0.2040816327,0.1470588235,0.1298701299,0.2272727273,0.2380952381,0.0943396226
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1
1,0,0,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,1,0
0,1,0,0,1,1,0,0,0,0
